Name,Organization,Year Elected,Residency
Sir Robert Liston,APS,1800,International
Samuel Miller,APS,1800,Resident
Pierre S. du Pont de Nemours,APS,1800,International
John R. Smith,APS,1800,Resident
Francis Blanchet,APS,1801,International
Samuel Falberg,APS,1801,International
Jose J. de Ferrer,APS,1801,International
Thomas T. Hewson,APS,1801,Resident
William Jones,APS,1801,International
Robert R. Livingston,APS,1801,Resident
Gustav Paykull,APS,1801,International
Fran Peyrolon,APS,1801,International
Alexander Ramirez,APS,1801,International
William Barnwell,APS,1802,Resident
John Church,APS,1802,Resident
Thomas Cooper,APS,1802,Resident
Valentin de Foronda,APS,1802,Resident
John Garnett,APS,1802,Resident
Marquis de C.M. Martinez Casa Irujo,APS,1802,International
William S. Jacobs,APS,1802,Resident
Philippe R. Roume de St. Laurent,APS,1802,International
Phillippe J. Letsom,APS,1802,International
James Mease,APS,1802,Resident
Peter B. Olsen,APS,1802,International
Philip S. Physick,APS,1802,Resident
Jarvis Roebuck,APS,1802,International
William Roxburgh,APS,1802,International
Benjamin Dearborn,APS,1803,Resident
Jean B.J. Delambre,APS,1803,International
Robert Gilmore,APS,1803,Resident
Robert Hare,APS,1803,Resident
Meriwether Lewis,APS,1803,Resident
Dan Melanderhjelm,APS,1803,International
Francis Nichols,APS,1803,International
Eric Prosperin,APS,1803,International
David Ramsay,APS,1803,Resident
Benjamin Thompson,APS,1803,International
Pedro Caevallos,APS,1804,International
Antonio J. Cavanilles,APS,1804,International
Zaccheus Collins,APS,1804,Resident
Joshua Gilpin,APS,1804,Resident
Prince Manuel Godoy,APS,1804,International
Baron von F.H. Alexander Humboldt,APS,1804,International
David Humphreys,APS,1804,Resident
Edward Jenner,APS,1804,International
William Short,APS,1804,Resident
Sam Webber,APS,1804,Resident
Joseph Willard,APS,1804,Resident
William Hawes,APS,1805,International
William Jones,APS,1805,Resident
Edward Miller,APS,1805,Resident
Samuel Moore,APS,1805,Resident
John Prince,APS,1805,Resident
Benjamin Silliman,APS,1805,Resident
Charles Smith,APS,1805,Resident
William Tilghman,APS,1805,Resident
F.A. Vanderkemp,APS,1805,Resident
Bushrod Washington,APS,1805,Resident
